epoch,phase,total,pde,ic,bc,lr,quantum_grad_norm,elapsed_sec
1,adam,0.7543210983276367,0.10062424093484879,0.593428373336792,0.06026843935251236,0.001,,2.3980928999371827
200,adam,0.1409703493118286,0.055581189692020416,0.08009056746959686,0.005298578646034002,0.001,,40.908561600372195
400,adam,0.10064294934272766,0.04537591710686684,0.05110293999314308,0.004164091311395168,0.001,,60.67806169996038
600,adam,0.08184242993593216,0.032109178602695465,0.048897527158260345,0.000835726095829159,0.001,,80.87980110011995
800,adam,0.05654018744826317,0.02087128348648548,0.035515133291482925,0.0001537676143925637,0.001,,101.61049670027569
1000,adam,0.04111151397228241,0.01872820407152176,0.022289881482720375,9.343041892861947e-05,0.001,,122.24805980036035
1200,adam,0.02590268850326538,0.013032844290137291,0.012784142047166824,8.570263162255287e-05,0.001,,142.4076208001934
1400,adam,0.054475996643304825,0.044240113347768784,0.009459865279495716,0.0007760191219858825,0.001,,162.74134339997545
1600,adam,0.007716890890151262,0.004145849496126175,0.003551855916157365,1.9185670680599287e-05,0.001,,183.790892300196
1800,adam,0.00612346176058054,0.003010312793776393,0.003098253859207034,1.4895183994667605e-05,0.001,,203.78047630004585
2000,adam,0.004619158338755369,0.0025528348051011562,0.0020535271614789963,1.2796387636626605e-05,0.0005,,226.93016210012138
2200,adam,0.0036870953626930714,0.001984566217288375,0.0016942291986197233,8.299948603962548e-06,0.0005,,249.8160744002089
2400,adam,0.003192923730239272,0.001709855510853231,0.0014759874902665615,7.0805394898343366e-06,0.0005,,272.83511700015515
2600,adam,0.0027406776789575815,0.001455341000109911,0.001279244665056467,6.092005605751183e-06,0.0005,,308.32839380018413
2800,adam,0.0023368962574750185,0.0012348174350336194,0.0010967652779072523,5.313514066074276e-06,0.0005,,354.3640283001587
3000,adam,0.0020827092230319977,0.0011389690916985273,0.0009392732172273099,4.466919563128613e-06,0.0005,,398.1205949001014
3200,adam,0.0018772304756566882,0.0010633277706801891,0.0008093522628769279,4.550472567643737e-06,0.0005,,439.45285090012476
3400,adam,0.002316892147064209,0.0015268155839294195,0.0007809067028574646,9.169807526632212e-06,0.0005,,481.3982541002333
3600,adam,0.0011833799071609974,0.0007130620069801807,0.00046589228441007435,4.425656698003877e-06,0.0005,,522.3761591999792
3800,adam,0.0009762043482623994,0.000593275239225477,0.000380155659513548,2.773445203274605e-06,0.0005,,563.7713562999852
4000,adam,0.0008323695510625839,0.000515157007612288,0.00031493324786424637,2.2792837626184337e-06,0.00025,,604.1412876001559
4200,adam,0.0007420335314236581,0.0004653185897041112,0.0002747158578131348,1.9990607142972294e-06,0.00025,,647.3928180001676
4400,adam,0.0006765163270756602,0.0004292932862881571,0.00024542619939893484,1.7968766314879758e-06,0.00025,,685.3331165001728
4600,adam,0.0006197336479090154,0.00039759164792485535,0.00022051668202038854,1.6253263765975134e-06,0.00025,,726.9579904000275
4800,adam,0.000567399081774056,0.0003677265776786953,0.00019821396563202143,1.458571773582662e-06,0.00025,,766.9860158003867
5000,adam,0.0005187314236536622,0.0003394560771994293,0.00017798416956793517,1.2911826843264862e-06,0.00025,,806.9133820002899
5200,adam,0.00047336448915302753,0.00031257272348739207,0.0001596658257767558,1.1259385246376041e-06,0.00025,,846.9008213002235
5400,adam,0.001067500445060432,0.0009054667316377163,0.0001564862031955272,5.5475161389040295e-06,0.00025,,886.3706904002465
5600,adam,0.00042813466279767454,0.0002908887981902808,0.00013649465108755976,7.511847002206196e-07,0.00025,,925.5163132003509
5800,adam,0.00041723635513335466,0.000294429250061512,0.00012145764048909768,1.3494594668372883e-06,0.00025,,966.6171552999876
6000,adam,0.00033844143035821617,0.00022860188619233668,0.0001091893354896456,6.502053793155937e-07,0.000125,,1009.5117383003235
6200,adam,0.00032388203544542193,0.00021995368297211826,0.00010333771206205711,5.906347837481007e-07,0.000125,,1051.7361289002001
6400,adam,0.00030958664137870073,0.00021095402189530432,9.808467439142987e-05,5.479248557094252e-07,0.000125,,1093.2992968000472
6600,adam,0.00029516470385715365,0.00020173063967376947,9.292866161558777e-05,5.054110374658194e-07,0.000125,,1135.798213900067
6800,adam,0.00028068068786524236,0.00019239292305428535,8.782322402112186e-05,4.6454024982267583e-07,0.000125,,1176.2905040001497
7000,adam,0.00026622391305863857,0.0001830205728765577,8.277732558781281e-05,4.260214439000265e-07,0.000125,,1217.306523800362
7200,adam,0.0002518721448723227,0.00017367844702675939,7.78032626840286e-05,3.9043669630700606e-07,0.000125,,1258.1847916999832
7400,adam,0.0002403335674898699,0.00016574736218899488,7.417405140586197e-05,4.1215781720893574e-07,0.000125,,1298.8285329001956
7600,adam,0.0002256389707326889,0.0001565104757901281,6.88006475684233e-05,3.278477436197136e-07,0.000125,,1339.0781580000184
7800,adam,0.0002135128597728908,0.00014852051390334964,6.468611536547542e-05,3.062334599235328e-07,0.000125,,1379.7608620002866
8000,adam,0.00020229218353051692,0.00014111620839685202,6.088762893341482e-05,2.88341368559486e-07,6.25e-05,,1419.555294800084
8001,lbfgs,0.0002022054832195863,0.0001411450357409194,6.07743531872984e-05,2.860950303329446e-07,1,,0.34147589979693294
