epoch,phase,total,pde,ic,bc,lr,quantum_grad_norm,elapsed_sec
1,adam,0.6215656995773315,0.005207635462284088,0.5991411805152893,0.017216863110661507,0.001,0.21614201366901398,2.87783640017733
100,adam,0.33741462230682373,0.00655545387417078,0.3148229718208313,0.01603618450462818,0.001,0.14387869834899902,31.725771999917924
200,adam,0.20411425828933716,0.03585367277264595,0.141090527176857,0.02717006951570511,0.001,0.03943811357021332,62.464823100250214
300,adam,0.17006221413612366,0.04314415529370308,0.11355128884315491,0.013366779312491417,0.001,0.04501539468765259,95.51118519995362
400,adam,0.1518699824810028,0.05074416846036911,0.09220592677593231,0.008919897489249706,0.001,0.02189861424267292,131.2392559000291
500,adam,0.14774484932422638,0.0520506389439106,0.08712753653526306,0.008566681295633316,0.001,0.013106195256114006,177.649816500023
600,adam,0.1450813114643097,0.05165990814566612,0.08502429723739624,0.008397109806537628,0.001,0.012305897660553455,225.42809219984338
700,adam,0.14231263101100922,0.05086918920278549,0.08321051299571991,0.008232937194406986,0.001,0.012056803330779076,262.9097064002417
800,adam,0.13980445265769958,0.05017232149839401,0.08164562284946442,0.0079865213483572,0.0005,0.01275685615837574,300.67802349990234
900,adam,0.13771216571331024,0.04977760463953018,0.08018946647644043,0.007745104841887951,0.0005,0.013586455956101418,338.44198819994926
1000,adam,0.13534699380397797,0.04956008866429329,0.07832979410886765,0.0074571119621396065,0.0005,0.013481153175234795,376.2608635001816
1100,adam,0.13316045701503754,0.04954402148723602,0.07645979523658752,0.007156636565923691,0.0005,0.011886782944202423,414.2294259001501
1200,adam,0.13144642114639282,0.0495028980076313,0.07509128749370575,0.006852246355265379,0.0005,0.010431275703012943,464.97161450004205
1300,adam,0.1300152689218521,0.04915314540266991,0.07432875782251358,0.006533369887620211,0.0005,0.009465852752327919,546.1863930001855
1400,adam,0.1287045180797577,0.048611998558044434,0.07389405369758606,0.006198472809046507,0.0005,0.008292428217828274,626.075016700197
1500,adam,0.12745511531829834,0.04806356877088547,0.07355134189128876,0.005840204190462828,0.00025,0.007161101792007685,707.1843921998516
1600,adam,0.1268225759267807,0.04780995845794678,0.07336682081222534,0.005645798519253731,0.00025,0.006734798662364483,789.3216551002115
1700,adam,0.1261812448501587,0.047564517706632614,0.07317596673965454,0.005440755281597376,0.00025,0.006418235134333372,870.0421251999214
1800,adam,0.12552829086780548,0.04733183607459068,0.07296984642744064,0.00522660743445158,0.00025,0.006221580784767866,951.1595478998497
1900,adam,0.12486985325813293,0.047113243490457535,0.0727488249540329,0.0050077857449650764,0.00025,0.00612930953502655,1025.0605215998366
2000,adam,0.12421273440122604,0.04690860956907272,0.07251356542110443,0.004790558945387602,0.00025,0.006112395320087671,1104.1079044998623
2100,adam,0.12356168776750565,0.04671304300427437,0.07226718962192535,0.004581460729241371,0.00025,0.006127824541181326,1183.6987046999857
2200,adam,0.12291733920574188,0.046518079936504364,0.07201249897480011,0.00438676169142127,0.00025,0.006134623661637306,1261.2520524002612
2300,adam,0.12243256717920303,0.04636513814330101,0.07181493937969208,0.004252488259226084,0.000125,0.00612050062045455,1338.606008999981
2400,adam,0.12210506200790405,0.046257130801677704,0.07167915254831314,0.004168778192251921,0.000125,0.006095205433666706,1418.3492240002379
2500,adam,0.12176933139562607,0.04614011198282242,0.07154020667076111,0.004089010879397392,0.000125,0.006056397687643766,1456.1612023999915
2600,adam,0.12142452597618103,0.04601287841796875,0.07139886915683746,0.004012782126665115,0.000125,0.00599778164178133,1488.9566417001188
2700,adam,0.12106949836015701,0.045874133706092834,0.07125519961118698,0.003940166439861059,0.000125,0.005927956663072109,1521.6084334002808
2800,adam,0.12070300430059433,0.045722443610429764,0.07110988348722458,0.0038706727791577578,0.000125,0.005851828958839178,1554.482852899935
2900,adam,0.12032338976860046,0.045556411147117615,0.07096365094184875,0.0038033300079405308,0.000125,0.005773570388555527,1588.6401375001296
3000,adam,0.11992882937192917,0.0453750379383564,0.0708167552947998,0.003737039864063263,6.25e-05,0.005702619906514883,1624.6696625999175
3001,lbfgs,0.11992479860782623,0.04537314549088478,0.07081529498100281,0.0037363616283982992,1,0.00570180919021368,0.4390483000315726
3100,lbfgs,0.10662443935871124,0.04074985161423683,0.06428263336420059,0.0015919479774311185,1,0.07276131212711334,36.46762550016865
3200,lbfgs,0.09788765758275986,0.0389820896089077,0.057988718152046204,0.0009168472024612129,1,0.01364931184798479,73.76066089980304
3300,lbfgs,0.09303461015224457,0.037798963487148285,0.05465643107891083,0.0005792147130705416,1,0.07802314311265945,115.16451769974083
